Year: 2025
Comp name,Type,Week,Avg pts,Avg win pts,Avg loose pts,Avg qualifier pts,Avg qualifier win pts,Avg qualifier loose pts,Avg playoff pts,Avg playoff win pts,Avg playoff loose pts,Win/loose % diff,Qualifier win/loose % diff,Playoff win/loose % diff
Archimedes Division,Championship Division,null,196.94,216.41,177.46,190.86,211.44,170.28,247.57,257.87,237.27,18.00118819724074,19.466515323496026,7.9886246122026865
Einstein Field,Championship Finals,null,260.56,276.44,244.69,NaN,NaN,NaN,260.56,276.44,244.69,11.485417137689351,NaN,11.485417137689351
Curie Division,Championship Division,null,199.54,220.65,178.43,193.62,215.89,171.35,246.53,258.44,234.63,19.132887522581058,20.628784010504045,9.214026602176542
Daly Division,Championship Division,null,189.73,209.19,170.28,183,203.31,162.68,245.87,258.13,233.6,18.599330738236695,19.98504761155269,9.504132231404958
Galileo Division,Championship Division,null,184.18,202.72,165.63,177.99,197.4,158.58,235.7,247.07,224.33,18.297452521052808,19.663627152988855,9.201295196977869
Hopper Division,Championship Division,null,185.34,202.9,167.77,179.94,198.26,161.61,227.53,239.13,215.94,17.312733755112028,18.48848000645604,9.696811291165709
Johnson Division,Championship Division,null,186.5,207.81,165.19,181.08,202.66,159.5,231.67,250.67,212.67,20.5066510844533,21.300280266845604,15.159574468085108
Milstein Division,Championship Division,null,187.92,208,167.84,181.72,202.62,160.82,236.41,250.06,222.75,19.305782869612656,20.63015753938485,10.92226943264184
Newton Division,Championship Division,null,190.79,211.62,169.96,184.68,205.81,163.54,241.73,260.07,223.4,19.688122320855975,20.53564487289123,14.098948987439114
